"","Time","ID","age","sex","Foundation","Condition","Game","Partner","Index","ValueA","ValueB","double_original","Fingerratio","Q1","Q2","Double"
"1","pilot_191015_0957",9963,18,"1","2","CD","C","D",1,2,5,"0",NA,NA,NA,FALSE
"2","pilot_191008_1231",8896,20,"1","2","CD","C","D",1,2,1,"0",NA,NA,NA,FALSE
"3","pilot_191015_0957",9963,18,"1","2","CD","C","D",2,1,2,"0",NA,NA,NA,FALSE
"4","pilot_191008_1231",8896,20,"1","2","CD","C","D",2,3,6,"0",NA,NA,NA,FALSE
"5","pilot_191015_0957",9963,18,"1","2","CD","C","D",3,6,4,"0",NA,NA,NA,FALSE
"6","pilot_191008_1231",8896,20,"1","2","CD","C","D",3,2,5,"0",NA,NA,NA,FALSE
"7","pilot_191015_0957",9963,18,"1","2","CD","C","D",4,4,4,"1",NA,NA,NA,TRUE
"8","pilot_191008_1231",8896,20,"1","2","CD","C","D",4,1,3,"0",NA,NA,NA,FALSE
"9","pilot_191015_0957",9963,18,"1","2","CD","C","D",5,6,4,"0",NA,NA,NA,FALSE
"10","pilot_191008_1231",8896,20,"1","2","CD","C","D",5,4,5,"0",NA,NA,NA,FALSE
"11","pilot_191015_0957",9963,18,"1","2","CD","C","D",6,3,5,"0",NA,NA,NA,FALSE
"12","pilot_191008_1231",8896,20,"1","2","CD","C","D",6,4,6,"0",NA,NA,NA,FALSE
"13","pilot_191015_0957",9963,18,"1","2","CD","C","D",7,6,6,"1",NA,NA,NA,TRUE
"14","pilot_191008_1231",8896,20,"1","2","CD","C","D",7,6,6,"1",NA,NA,NA,TRUE
"15","pilot_191015_0957",9963,18,"1","2","CD","C","D",8,1,2,"0",NA,NA,NA,FALSE
"16","pilot_191008_1231",8896,20,"1","2","CD","C","D",8,5,6,"0",NA,NA,NA,FALSE
"17","pilot_191015_0957",9963,18,"1","2","CD","C","D",9,5,1,"0",NA,NA,NA,FALSE
"18","pilot_191008_1231",8896,20,"1","2","CD","C","D",9,4,5,"0",NA,NA,NA,FALSE
"19","pilot_191015_0957",9963,18,"1","2","CD","C","D",10,6,1,"0",NA,NA,NA,FALSE
"20","pilot_191008_1231",8896,20,"1","2","CD","C","D",10,4,4,"1",NA,NA,NA,TRUE
"21","pilot_191015_0957",9963,18,"1","2","CD","C","D",11,6,6,"1",NA,NA,NA,TRUE
"22","pilot_191008_1231",8896,20,"1","2","CD","C","D",11,4,3,"0",NA,NA,NA,FALSE
"23","pilot_191015_0957",9963,18,"1","2","CD","C","D",12,3,4,"0",NA,NA,NA,FALSE
"24","pilot_191008_1231",8896,20,"1","2","CD","C","D",12,6,5,"0",NA,NA,NA,FALSE
"25","pilot_191015_0957",9963,18,"1","2","CD","C","D",13,1,1,"1",NA,NA,NA,TRUE
"26","pilot_191008_1231",8896,20,"1","2","CD","C","D",13,2,6,"0",NA,NA,NA,FALSE
"27","pilot_191015_0957",9963,18,"1","2","CD","C","D",14,4,3,"0",NA,NA,NA,FALSE
"28","pilot_191008_1231",8896,20,"1","2","CD","C","D",14,2,5,"0",NA,NA,NA,FALSE
"29","pilot_191015_0957",9963,18,"1","2","CD","C","D",15,6,6,"1",NA,NA,NA,TRUE
"30","pilot_191008_1231",8896,20,"1","2","CD","C","D",15,3,3,"1",NA,NA,NA,TRUE
"31","pilot_191015_0957",9963,18,"1","2","CD","C","D",16,2,5,"0",NA,NA,NA,FALSE
"32","pilot_191008_1231",8896,20,"1","2","CD","C","D",16,3,6,"0",NA,NA,NA,FALSE
"33","pilot_191015_0957",9963,18,"1","2","CD","C","D",17,1,6,"0",NA,NA,NA,FALSE
"34","pilot_191008_1231",8896,20,"1","2","CD","C","D",17,6,1,"0",NA,NA,NA,FALSE
"35","pilot_191015_0957",9963,18,"1","2","CD","C","D",18,1,4,"0",NA,NA,NA,FALSE
"36","pilot_191008_1231",8896,20,"1","2","CD","C","D",18,1,2,"0",NA,NA,NA,FALSE
"37","pilot_191015_0957",9963,18,"1","2","CD","C","D",19,2,2,"1",NA,NA,NA,TRUE
"38","pilot_191008_1231",8896,20,"1","2","CD","C","D",19,5,6,"0",NA,NA,NA,FALSE
"39","pilot_191015_0957",9963,18,"1","2","CD","C","D",20,4,5,"0",NA,NA,NA,FALSE
"40","pilot_191008_1231",8896,20,"1","2","CD","C","D",20,2,3,"0",NA,NA,NA,FALSE
"41","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",1,6,4,"0",NA,NA,NA,FALSE
"42","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",1,3,6,"0",NA,NA,NA,FALSE
"43","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",2,4,5,"0",NA,NA,NA,FALSE
"44","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",2,4,6,"0",NA,NA,NA,FALSE
"45","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",3,4,6,"0",NA,NA,NA,FALSE
"46","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",3,6,6,"1",NA,NA,NA,TRUE
"47","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",4,2,6,"0",NA,NA,NA,FALSE
"48","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",4,5,6,"0",NA,NA,NA,FALSE
"49","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",5,2,2,"1",NA,NA,NA,TRUE
"50","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",5,2,2,"1",NA,NA,NA,TRUE
"51","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",6,3,6,"0",NA,NA,NA,FALSE
"52","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",6,3,5,"0",NA,NA,NA,FALSE
"53","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",7,6,2,"0",NA,NA,NA,FALSE
"54","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",7,6,6,"1",NA,NA,NA,TRUE
"55","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",8,1,1,"1",NA,NA,NA,TRUE
"56","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",8,1,6,"0",NA,NA,NA,FALSE
"57","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",9,4,6,"0",NA,NA,NA,FALSE
"58","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",9,2,3,"0",NA,NA,NA,FALSE
"59","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",10,6,1,"0",NA,NA,NA,FALSE
"60","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",10,5,5,"1",NA,NA,NA,TRUE
"61","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",11,4,6,"0",NA,NA,NA,FALSE
"62","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",11,1,5,"0",NA,NA,NA,FALSE
"63","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",12,3,1,"0",NA,NA,NA,FALSE
"64","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",12,5,1,"0",NA,NA,NA,FALSE
"65","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",13,4,6,"0",NA,NA,NA,FALSE
"66","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",13,4,6,"0",NA,NA,NA,FALSE
"67","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",14,4,3,"0",NA,NA,NA,FALSE
"68","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",14,4,3,"0",NA,NA,NA,FALSE
"69","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",15,1,6,"0",NA,NA,NA,FALSE
"70","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",15,6,4,"0",NA,NA,NA,FALSE
"71","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",16,5,6,"0",NA,NA,NA,FALSE
"72","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",16,6,3,"0",NA,NA,NA,FALSE
"73","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",17,5,3,"0",NA,NA,NA,FALSE
"74","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",17,2,6,"0",NA,NA,NA,FALSE
"75","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",18,6,6,"1",NA,NA,NA,TRUE
"76","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",18,4,6,"0",NA,NA,NA,FALSE
"77","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",19,2,4,"0",NA,NA,NA,FALSE
"78","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",19,3,6,"0",NA,NA,NA,FALSE
"79","pilot_191008_1436",3181,23,"1",NA,"SD","S","D",20,4,2,"0",NA,NA,NA,FALSE
"80","pilot_191009_1247",3896,22,"2",NA,"SD","S","D",20,1,6,"0",NA,NA,NA,FALSE
"81","pilot_191015_1143",9560,20,"3","1","CH","C","H",1,6,5,"0",NA,NA,NA,FALSE
"82","pilot_191009_1148",8274,19,"1","3","CH","C","H",1,1,4,"0",NA,NA,NA,FALSE
"83","pilot_191009_1333",3486,20,"1","1","CH","C","H",1,1,6,"0",NA,NA,NA,FALSE
"84","pilot_191015_1143",9560,20,"3","1","CH","C","H",2,2,2,"1",NA,NA,NA,TRUE
"85","pilot_191009_1148",8274,19,"1","3","CH","C","H",2,1,3,"0",NA,NA,NA,FALSE
"86","pilot_191009_1333",3486,20,"1","1","CH","C","H",2,6,5,"0",NA,NA,NA,FALSE
"87","pilot_191015_1143",9560,20,"3","1","CH","C","H",3,5,3,"0",NA,NA,NA,FALSE
"88","pilot_191009_1148",8274,19,"1","3","CH","C","H",3,5,1,"0",NA,NA,NA,FALSE
"89","pilot_191009_1333",3486,20,"1","1","CH","C","H",3,6,3,"0",NA,NA,NA,FALSE
"90","pilot_191015_1143",9560,20,"3","1","CH","C","H",4,1,6,"0",NA,NA,NA,FALSE
"91","pilot_191009_1148",8274,19,"1","3","CH","C","H",4,5,4,"0",NA,NA,NA,FALSE
"92","pilot_191009_1333",3486,20,"1","1","CH","C","H",4,4,5,"0",NA,NA,NA,FALSE
"93","pilot_191015_1143",9560,20,"3","1","CH","C","H",5,1,1,"1",NA,NA,NA,TRUE
"94","pilot_191009_1148",8274,19,"1","3","CH","C","H",5,4,6,"0",NA,NA,NA,FALSE
"95","pilot_191009_1333",3486,20,"1","1","CH","C","H",5,6,3,"0",NA,NA,NA,FALSE
"96","pilot_191015_1143",9560,20,"3","1","CH","C","H",6,2,5,"0",NA,NA,NA,FALSE
"97","pilot_191009_1148",8274,19,"1","3","CH","C","H",6,5,4,"0",NA,NA,NA,FALSE
"98","pilot_191009_1333",3486,20,"1","1","CH","C","H",6,3,4,"0",NA,NA,NA,FALSE
"99","pilot_191015_1143",9560,20,"3","1","CH","C","H",7,2,4,"0",NA,NA,NA,FALSE
"100","pilot_191009_1148",8274,19,"1","3","CH","C","H",7,6,4,"0",NA,NA,NA,FALSE
"101","pilot_191009_1333",3486,20,"1","1","CH","C","H",7,2,3,"0",NA,NA,NA,FALSE
"102","pilot_191015_1143",9560,20,"3","1","CH","C","H",8,3,3,"1",NA,NA,NA,TRUE
