"","ID","Condition","Game","Partner","Index","ValueA","ValueB","Double","Fingerratio"
"1",58592,"SH","S","H",1,6,6,TRUE,1.19602005882992
"2",58592,"SH","S","H",2,6,6,TRUE,1.19602005882992
"3",58592,"SH","S","H",3,4,4,TRUE,1.19602005882992
"4",58592,"SH","S","H",4,3,3,TRUE,1.19602005882992
"5",58592,"SH","S","H",5,6,5,FALSE,1.19602005882992
"6",58592,"SH","S","H",6,6,6,TRUE,1.19602005882992
"7",58592,"SH","S","H",7,2,6,FALSE,1.19602005882992
"8",58592,"SH","S","H",8,3,3,TRUE,1.19602005882992
"9",58592,"SH","S","H",9,1,1,TRUE,1.19602005882992
"10",58592,"SH","S","H",10,1,5,FALSE,1.19602005882992
"11",58592,"SH","S","H",11,2,4,FALSE,1.19602005882992
"12",58592,"SH","S","H",12,6,6,TRUE,1.19602005882992
"13",58592,"SH","S","H",13,1,4,FALSE,1.19602005882992
"14",58592,"SH","S","H",14,1,3,FALSE,1.19602005882992
"15",58592,"SH","S","H",15,2,2,TRUE,1.19602005882992
"16",58592,"SH","S","H",16,4,4,TRUE,1.19602005882992
"17",58592,"SH","S","H",17,5,5,TRUE,1.19602005882992
"18",58592,"SH","S","H",18,5,4,FALSE,1.19602005882992
"19",58592,"SH","S","H",19,6,3,FALSE,1.19602005882992
"20",58592,"SH","S","H",20,3,4,FALSE,1.19602005882992
"21",14889,"SH","S","H",1,6,5,FALSE,1.19602005882992
"22",14889,"SH","S","H",2,4,2,FALSE,1.19602005882992
"23",14889,"SH","S","H",3,1,1,TRUE,1.19602005882992
"24",14889,"SH","S","H",4,5,1,FALSE,1.19602005882992
"25",14889,"SH","S","H",5,5,3,FALSE,1.19602005882992
"26",14889,"SH","S","H",6,3,3,TRUE,1.19602005882992
"27",14889,"SH","S","H",7,3,3,TRUE,1.19602005882992
"28",14889,"SH","S","H",8,3,1,FALSE,1.19602005882992
"29",14889,"SH","S","H",9,2,2,TRUE,1.19602005882992
"30",14889,"SH","S","H",10,1,1,TRUE,1.19602005882992
"31",14889,"SH","S","H",11,3,1,FALSE,1.19602005882992
"32",14889,"SH","S","H",12,1,1,TRUE,1.19602005882992
"33",14889,"SH","S","H",13,2,4,FALSE,1.19602005882992
"34",14889,"SH","S","H",14,1,6,FALSE,1.19602005882992
"35",14889,"SH","S","H",15,3,3,TRUE,1.19602005882992
"36",14889,"SH","S","H",16,6,4,FALSE,1.19602005882992
"37",14889,"SH","S","H",17,2,2,TRUE,1.19602005882992
"38",14889,"SH","S","H",18,6,6,TRUE,1.19602005882992
"39",14889,"SH","S","H",19,2,3,FALSE,1.19602005882992
"40",14889,"SH","S","H",20,3,4,FALSE,1.19602005882992
"41",85453,"SH","S","H",1,6,6,TRUE,1.19602005882992
"42",85453,"SH","S","H",2,5,4,FALSE,1.19602005882992
"43",85453,"SH","S","H",3,5,5,TRUE,1.19602005882992
"44",85453,"SH","S","H",4,5,2,FALSE,1.19602005882992
"45",85453,"SH","S","H",5,5,5,TRUE,1.19602005882992
"46",85453,"SH","S","H",6,6,3,FALSE,1.19602005882992
"47",85453,"SH","S","H",7,4,4,TRUE,1.19602005882992
"48",85453,"SH","S","H",8,4,4,TRUE,1.19602005882992
"49",85453,"SH","S","H",9,4,5,FALSE,1.19602005882992
"50",85453,"SH","S","H",10,2,6,FALSE,1.19602005882992
"51",85453,"SH","S","H",11,5,5,TRUE,1.19602005882992
"52",85453,"SH","S","H",12,3,1,FALSE,1.19602005882992
"53",85453,"SH","S","H",13,5,4,FALSE,1.19602005882992
"54",85453,"SH","S","H",14,4,5,FALSE,1.19602005882992
"55",85453,"SH","S","H",15,4,4,TRUE,1.19602005882992
"56",85453,"SH","S","H",16,1,2,FALSE,1.19602005882992
"57",85453,"SH","S","H",17,5,5,TRUE,1.19602005882992
"58",85453,"SH","S","H",18,6,5,FALSE,1.19602005882992
"59",85453,"SH","S","H",19,2,2,TRUE,1.19602005882992
"60",85453,"SH","S","H",20,1,4,FALSE,1.19602005882992
"61",89018,"SH","S","H",1,1,1,TRUE,1.19602005882992
"62",89018,"SH","S","H",2,2,4,FALSE,1.19602005882992
"63",89018,"SH","S","H",3,5,5,TRUE,1.19602005882992
"64",89018,"SH","S","H",4,1,1,TRUE,1.19602005882992
"65",89018,"SH","S","H",5,1,5,FALSE,1.19602005882992
"66",89018,"SH","S","H",6,3,5,FALSE,1.19602005882992
"67",89018,"SH","S","H",7,5,5,TRUE,1.19602005882992
"68",89018,"SH","S","H",8,4,1,FALSE,1.19602005882992
"69",89018,"SH","S","H",9,1,1,TRUE,1.19602005882992
"70",89018,"SH","S","H",10,2,2,TRUE,1.19602005882992
"71",89018,"SH","S","H",11,5,6,FALSE,1.19602005882992
"72",89018,"SH","S","H",12,5,5,TRUE,1.19602005882992
"73",89018,"SH","S","H",13,1,1,TRUE,1.19602005882992
"74",89018,"SH","S","H",14,5,6,FALSE,1.19602005882992
"75",89018,"SH","S","H",15,4,6,FALSE,1.19602005882992
"76",89018,"SH","S","H",16,6,6,TRUE,1.19602005882992
"77",89018,"SH","S","H",17,4,4,TRUE,1.19602005882992
"78",89018,"SH","S","H",18,5,3,FALSE,1.19602005882992
"79",89018,"SH","S","H",19,3,3,TRUE,1.19602005882992
"80",89018,"SH","S","H",20,6,4,FALSE,1.19602005882992
"81",40892,"SH","S","H",1,1,1,TRUE,1.19602005882992
"82",40892,"SH","S","H",2,4,5,FALSE,1.19602005882992
"83",40892,"SH","S","H",3,6,6,TRUE,1.19602005882992
"84",40892,"SH","S","H",4,5,2,FALSE,1.19602005882992
"85",40892,"SH","S","H",5,3,3,TRUE,1.19602005882992
"86",40892,"SH","S","H",6,2,2,TRUE,1.19602005882992
"87",40892,"SH","S","H",7,6,2,FALSE,1.19602005882992
"88",40892,"SH","S","H",8,5,5,TRUE,1.19602005882992
"89",40892,"SH","S","H",9,6,2,FALSE,1.19602005882992
"90",40892,"SH","S","H",10,3,3,TRUE,1.19602005882992
"91",40892,"SH","S","H",11,5,1,FALSE,1.19602005882992
"92",40892,"SH","S","H",12,4,6,FALSE,1.19602005882992
"93",40892,"SH","S","H",13,4,3,FALSE,1.19602005882992
"94",40892,"SH","S","H",14,5,6,FALSE,1.19602005882992
"95",40892,"SH","S","H",15,6,3,FALSE,1.19602005882992
"96",40892,"SH","S","H",16,4,4,TRUE,1.19602005882992
"97",40892,"SH","S","H",17,1,1,TRUE,1.19602005882992
"98",40892,"SH","S","H",18,2,5,FALSE,1.19602005882992
"99",40892,"SH","S","H",19,6,1,FALSE,1.19602005882992
"100",40892,"SH","S","H",20,5,5,TRUE,1.19602005882992
"101",32161,"SH","S","H",1,4,4,TRUE,1.19602005882992
"102",32161,"SH","S","H",2,4,4,TRUE,1.19602005882992
"103",32161,"SH","S","H",3,6,6,TRUE,1.19602005882992
"104",32161,"SH","S","H",4,4,2,FALSE,1.19602005882992
"105",32161,"SH","S","H",5,4,2,FALSE,1.19602005882992
"106",32161,"SH","S","H",6,5,6,FALSE,1.19602005882992
"107",32161,"SH","S","H",7,4,4,TRUE,1.19602005882992
"108",32161,"SH","S","H",8,5,5,TRUE,1.19602005882992
"109",32161,"SH","S","H",9,5,4,FALSE,1.19602005882992
"110",32161,"SH","S","H",10,5,1,FALSE,1.19602005882992
"111",32161,"SH","S","H",11,4,4,TRUE,1.19602005882992
"112",32161,"SH","S","H",12,2,1,FALSE,1.19602005882992
