Session;Period;Subject;myTreatment;myGroup;myGroup2;myGroupType;dec-01;dec-02
160616_1231;0;1;9;2;2;1;3;0
160616_1231;0;2;9;4;5;2;6;2
160616_1231;0;3;2;1;1;1;2;0
160616_1231;0;4;2;2;3;2;6;1
160616_1231;0;5;9;1;1;1;5;0
160616_1231;0;6;9;3;3;1;1;0
160616_1231;0;7;2;3;4;2;4;5
160616_1231;0;8;2;6;1;2;3;4
160616_1231;0;9;9;7;1;2;6;3
160616_1231;0;10;9;1;2;2;5;2
160616_1231;0;11;2;3;3;1;4;0
160616_1231;0;12;2;5;6;2;4;4
160616_1231;0;13;9;2;3;2;3;3
160616_1231;0;14;9;6;7;2;6;5
160616_1231;0;15;2;5;5;1;4;0
160616_1231;0;16;2;6;6;1;3;0
160616_1231;0;17;9;3;4;2;1;2
160616_1231;0;18;9;5;6;2;6;2
160616_1231;0;19;2;1;2;2;2;2
160616_1231;0;20;2;4;4;1;4;0
160616_1231;0;21;9;6;6;1;6;0
160616_1231;0;22;9;4;4;1;6;0
160616_1231;0;23;2;2;2;1;6;0
160616_1231;0;24;2;4;5;2;4;6
160616_1231;0;25;9;5;5;1;6;0
160616_1231;0;26;9;7;7;1;6;0
160616_1231;1;1;9;2;2;1;5;0
160616_1231;1;2;9;4;5;2;6;6
160616_1231;1;3;2;1;1;1;3;0
160616_1231;1;4;2;2;3;2;1;6
160616_1231;1;5;9;1;1;1;6;0
160616_1231;1;6;9;3;3;1;5;0
160616_1231;1;7;2;3;4;2;4;3
160616_1231;1;8;2;6;1;2;3;2
160616_1231;1;9;9;7;1;2;6;6
160616_1231;1;10;9;1;2;2;5;4
160616_1231;1;11;2;3;3;1;1;0
160616_1231;1;12;2;5;6;2;4;4
160616_1231;1;13;9;2;3;2;5;5
160616_1231;1;14;9;6;7;2;5;5
160616_1231;1;15;2;5;5;1;6;0
160616_1231;1;16;2;6;6;1;4;0
160616_1231;1;17;9;3;4;2;5;5
160616_1231;1;18;9;5;6;2;5;5
160616_1231;1;19;2;1;2;2;4;4
160616_1231;1;20;2;4;4;1;4;0
160616_1231;1;21;9;6;6;1;5;0
160616_1231;1;22;9;4;4;1;5;0
160616_1231;1;23;2;2;2;1;4;0
160616_1231;1;24;2;4;5;2;6;6
160616_1231;1;25;9;5;5;1;6;0
160616_1231;1;26;9;7;7;1;5;0
160616_1231;2;1;9;2;2;1;6;0
160616_1231;2;2;9;4;5;2;6;6
160616_1231;2;3;2;1;1;1;6;0
160616_1231;2;4;2;2;3;2;6;6
160616_1231;2;5;9;1;1;1;4;0
160616_1231;2;6;9;3;3;1;5;0
160616_1231;2;7;2;3;4;2;5;5
160616_1231;2;8;2;6;1;2;6;6
160616_1231;2;9;9;7;1;2;4;2
160616_1231;2;10;9;1;2;2;6;4
160616_1231;2;11;2;3;3;1;6;0
160616_1231;2;12;2;5;6;2;5;5
160616_1231;2;13;9;2;3;2;5;5
160616_1231;2;14;9;6;7;2;6;6
160616_1231;2;15;2;5;5;1;4;0
160616_1231;2;16;2;6;6;1;5;0
160616_1231;2;17;9;3;4;2;1;2
160616_1231;2;18;9;5;6;2;4;2
160616_1231;2;19;2;1;2;2;4;4
160616_1231;2;20;2;4;4;1;5;0
160616_1231;2;21;9;6;6;1;4;0
160616_1231;2;22;9;4;4;1;1;0
160616_1231;2;23;2;2;2;1;4;0
160616_1231;2;24;2;4;5;2;4;6
160616_1231;2;25;9;5;5;1;6;0
160616_1231;2;26;9;7;7;1;6;0
160616_1231;3;1;9;2;2;1;2;0
160616_1231;3;2;9;4;5;2;6;6
160616_1231;3;3;2;1;1;1;5;0
160616_1231;3;4;2;2;3;2;5;6
160616_1231;3;5;9;1;1;1;6;0
160616_1231;3;6;9;3;3;1;4;0
160616_1231;3;7;2;3;4;2;3;2
160616_1231;3;8;2;6;1;2;5;5
160616_1231;3;9;9;7;1;2;6;2
160616_1231;3;10;9;1;2;2;2;4
160616_1231;3;11;2;3;3;1;5;0
160616_1231;3;12;2;5;6;2;6;5
160616_1231;3;13;9;2;3;2;4;4
160616_1231;3;14;9;6;7;2;5;5
160616_1231;3;15;2;5;5;1;5;0
160616_1231;3;16;2;6;6;1;6;0
160616_1231;3;17;9;3;4;2;5;5
160616_1231;3;18;9;5;6;2;2;1
160616_1231;3;19;2;1;2;2;2;2
160616_1231;3;20;2;4;4;1;3;0
160616_1231;3;21;9;6;6;1;2;0
160616_1231;3;22;9;4;4;1;5;0
160616_1231;3;23;2;2;2;1;2;0
160616_1231;3;24;2;4;5;2;5;5
160616_1231;3;25;9;5;5;1;6;0
160616_1231;3;26;9;7;7;1;5;0
160616_1231;4;1;9;2;2;1;5;0
160616_1231;4;2;9;4;5;2;6;6
160616_1231;4;3;2;1;1;1;4;0
160616_1231;4;4;2;2;3;2;6;6
160616_1231;4;5;9;1;1;1;6;0
160616_1231;4;6;9;3;3;1;5;0
160616_1231;4;7;2;3;4;2;2;4
160616_1231;4;8;2;6;1;2;4;4
160616_1231;4;9;9;7;1;2;6;1
160616_1231;4;10;9;1;2;2;5;2
160616_1231;4;11;2;3;3;1;6;0
160616_1231;4;12;2;5;6;2;2;3
160616_1231;4;13;9;2;3;2;5;5
160616_1231;4;14;9;6;7;2;5;4
160616_1231;4;15;2;5;5;1;5;0
160616_1231;4;16;2;6;6;1;2;0
160616_1231;4;17;9;3;4;2;6;3
160616_1231;4;18;9;5;6;2;6;4
160616_1231;4;19;2;1;2;2;3;3
160616_1231;4;20;2;4;4;1;2;0
160616_1231;4;21;9;6;6;1;6;0
160616_1231;4;22;9;4;4;1;6;0
160616_1231;4;23;2;2;2;1;3;0
160616_1231;4;24;2;4;5;2;5;5
160616_1231;4;25;9;5;5;1;6;0
160616_1231;4;26;9;7;7;1;5;0
160616_1231;5;1;9;2;2;1;1;0
160616_1231;5;2;9;4;5;2;6;6
160616_1231;5;3;2;1;1;1;3;0
160616_1231;5;4;2;2;3;2;6;6
160616_1231;5;5;9;1;1;1;3;0
160616_1231;5;6;9;3;3;1;2;0
160616_1231;5;7;2;3;4;2;1;3
160616_1231;5;8;2;6;1;2;3;2
160616_1231;5;9;9;7;1;2;3;3
160616_1231;5;10;9;1;2;2;1;1
160616_1231;5;11;2;3;3;1;6;0
160616_1231;5;12;2;5;6;2;2;5
160616_1231;5;13;9;2;3;2;2;2
160616_1231;5;14;9;6;7;2;3;1
160616_1231;5;15;2;5;5;1;5;0
160616_1231;5;16;2;6;6;1;2;0
160616_1231;5;17;9;3;4;2;3;5
160616_1231;5;18;9;5;6;2;6;3
160616_1231;5;19;2;1;2;2;5;5
160616_1231;5;20;2;4;4;1;1;0
160616_1231;5;21;9;6;6;1;6;0
160616_1231;5;22;9;4;4;1;3;0
160616_1231;5;23;2;2;2;1;5;0
160616_1231;5;24;2;4;5;2;5;5
160616_1231;5;25;9;5;5;1;6;0
160616_1231;5;26;9;7;7;1;3;0
160616_1231;6;1;9;2;2;1;2;0
160616_1231;6;2;9;4;5;2;6;6
160616_1231;6;3;2;1;1;1;5;0
160616_1231;6;4;2;2;3;2;4;4
160616_1231;6;5;9;1;1;1;4;0
160616_1231;6;6;9;3;3;1;6;0
160616_1231;6;7;2;3;4;2;4;5
160616_1231;6;8;2;6;1;2;5;5
160616_1231;6;9;9;7;1;2;4;3
160616_1231;6;10;9;1;2;2;2;3
160616_1231;6;11;2;3;3;1;4;0
160616_1231;6;12;2;5;6;2;4;4
160616_1231;6;13;9;2;3;2;6;6
160616_1231;6;14;9;6;7;2;6;6
160616_1231;6;15;2;5;5;1;5;0
160616_1231;6;16;2;6;6;1;4;0
160616_1231;6;17;9;3;4;2;3;3
160616_1231;6;18;9;5;6;2;5;5
160616_1231;6;19;2;1;2;2;2;2
160616_1231;6;20;2;4;4;1;4;0
160616_1231;6;21;9;6;6;1;5;0
160616_1231;6;22;9;4;4;1;3;0
160616_1231;6;23;2;2;2;1;2;0
160616_1231;6;24;2;4;5;2;5;5
160616_1231;6;25;9;5;5;1;6;0
160616_1231;6;26;9;7;7;1;6;0
160616_1231;7;1;9;2;2;1;4;0
160616_1231;7;2;9;4;5;2;6;6
160616_1231;7;3;2;1;1;1;6;0
160616_1231;7;4;2;2;3;2;3;3
160616_1231;7;5;9;1;1;1;3;0
160616_1231;7;6;9;3;3;1;1;0
160616_1231;7;7;2;3;4;2;6;3
160616_1231;7;8;2;6;1;2;6;6
160616_1231;7;9;9;7;1;2;3;5
160616_1231;7;10;9;1;2;2;4;5
160616_1231;7;11;2;3;3;1;3;0
160616_1231;7;12;2;5;6;2;3;3
160616_1231;7;13;9;2;3;2;1;1
160616_1231;7;14;9;6;7;2;3;1
160616_1231;7;15;2;5;5;1;5;0
160616_1231;7;16;2;6;6;1;3;0
160616_1231;7;17;9;3;4;2;5;5
160616_1231;7;18;9;5;6;2;5;5
160616_1231;7;19;2;1;2;2;1;1
160616_1231;7;20;2;4;4;1;6;0
160616_1231;7;21;9;6;6;1;5;0
160616_1231;7;22;9;4;4;1;5;0
160616_1231;7;23;2;2;2;1;1;0
160616_1231;7;24;2;4;5;2;5;5
