",""DyadID"",""Period"",""double"",""Treatment_name"""
"20,1,1,1,""aLow"""
"5,1,2,1,""aLow"""
"14,1,3,1,""aLow"""
"9,1,4,1,""aLow"""
"17,1,5,1,""aLow"""
"12,1,6,1,""aLow"""
"8,1,7,1,""aLow"""
"3,1,8,1,""aLow"""
"16,1,9,1,""aLow"""
"7,1,10,1,""aLow"""
"2,1,11,1,""aLow"""
"11,1,12,1,""aLow"""
"6,1,13,1,""aLow"""
"15,1,14,1,""aLow"""
"10,1,15,1,""aLow"""
"18,1,16,0,""aLow"""
"13,1,17,1,""aLow"""
"19,1,18,1,""aLow"""
"4,1,19,1,""aLow"""
"21,1,20,1,""aLow"""
"464,2,1,0,""aLow"""
"478,2,2,1,""aLow"""
"465,2,3,0,""aLow"""
"466,2,4,1,""aLow"""
"479,2,5,1,""aLow"""
"467,2,6,1,""aLow"""
"468,2,7,0,""aLow"""
"480,2,8,0,""aLow"""
"469,2,9,0,""aLow"""
"470,2,10,0,""aLow"""
"481,2,11,1,""aLow"""
"471,2,12,1,""aLow"""
"472,2,13,0,""aLow"""
"482,2,14,0,""aLow"""
"473,2,15,0,""aLow"""
"474,2,16,1,""aLow"""
"483,2,17,0,""aLow"""
"475,2,18,0,""aLow"""
"476,2,19,0,""aLow"""
"477,2,20,1,""aLow"""
"809,3,1,0,""aLow"""
"813,3,2,1,""aLow"""
"818,3,3,1,""aLow"""
"815,3,4,1,""aLow"""
"811,3,5,0,""aLow"""
"816,3,6,1,""aLow"""
"801,3,7,1,""aLow"""
"810,3,8,1,""aLow"""
"807,3,9,1,""aLow"""
"802,3,10,1,""aLow"""
"800,3,11,0,""aLow"""
"799,3,12,0,""aLow"""
"806,3,13,1,""aLow"""
"803,3,14,1,""aLow"""
"808,3,15,1,""aLow"""
"812,3,16,1,""aLow"""
"817,3,17,0,""aLow"""
"819,3,18,1,""aLow"""
"805,3,19,1,""aLow"""
"814,3,20,1,""aLow"""
"1687,4,1,0,""aLow"""
"1682,4,2,0,""aLow"""
"1684,4,3,1,""aLow"""
"1691,4,4,0,""aLow"""
"1685,4,5,0,""aLow"""
"1692,4,6,0,""aLow"""
"1695,4,7,0,""aLow"""
"1681,4,8,0,""aLow"""
"1683,4,9,0,""aLow"""
"1690,4,10,0,""aLow"""
"1693,4,11,0,""aLow"""
"1699,4,12,0,""aLow"""
"1698,4,13,0,""aLow"""
"1697,4,14,1,""aLow"""
"1701,4,15,0,""aLow"""
"1700,4,16,0,""aLow"""
"1696,4,17,0,""aLow"""
"1694,4,18,0,""aLow"""
"1688,4,19,1,""aLow"""
"1686,4,20,0,""aLow"""
"459,5,1,0,""aLow"""
"444,5,2,0,""aLow"""
"450,5,3,1,""aLow"""
"445,5,4,1,""aLow"""
"453,5,5,0,""aLow"""
"448,5,6,0,""aLow"""
"457,5,7,1,""aLow"""
"452,5,8,0,""aLow"""
"461,5,9,1,""aLow"""
"456,5,10,0,""aLow"""
"447,5,11,0,""aLow"""
"460,5,12,0,""aLow"""
"455,5,13,1,""aLow"""
"451,5,14,0,""aLow"""
"446,5,15,0,""aLow"""
"454,5,16,0,""aLow"""
"449,5,17,0,""aLow"""
"458,5,18,0,""aLow"""
"443,5,19,1,""aLow"""
"462,5,20,0,""aLow"""
"659,6,1,1,""aLow"""
"660,6,2,0,""aLow"""
"652,6,3,0,""aLow"""
"661,6,4,0,""aLow"""
"662,6,5,0,""aLow"""
"653,6,6,0,""aLow"""
"663,6,7,1,""aLow"""
"664,6,8,0,""aLow"""
"654,6,9,1,""aLow"""
"665,6,10,0,""aLow"""
"666,6,11,0,""aLow"""
"655,6,12,0,""aLow"""
"667,6,13,1,""aLow"""
"668,6,14,1,""aLow"""
"656,6,15,1,""aLow"""
"669,6,16,0,""aLow"""
"670,6,17,0,""aLow"""
"657,6,18,0,""aLow"""
"671,6,19,0,""aLow"""
"672,6,20,0,""aLow"""
"1226,7,1,1,""aLow"""
"1223,7,2,1,""aLow"""
"1224,7,3,1,""aLow"""
"1229,7,4,1,""aLow"""
"1233,7,5,1,""aLow"""
"1237,7,6,1,""aLow"""
"1239,7,7,1,""aLow"""
"1230,7,8,1,""aLow"""
"1238,7,9,1,""aLow"""
"1234,7,10,1,""aLow"""
"1235,7,11,1,""aLow"""
"1236,7,12,1,""aLow"""
"1225,7,13,1,""aLow"""
"1219,7,14,1,""aLow"""
"1220,7,15,1,""aLow"""
"1222,7,16,1,""aLow"""
"1227,7,17,1,""aLow"""
"1228,7,18,1,""aLow"""
"1231,7,19,1,""aLow"""
"1232,7,20,1,""aLow"""
"1610,8,1,1,""aLow"""
"1599,8,2,0,""aLow"""
"1602,8,3,1,""aLow"""
"1600,8,4,1,""aLow"""
"1597,8,5,0,""aLow"""
"1601,8,6,1,""aLow"""
"1604,8,7,1,""aLow"""
"1598,8,8,1,""aLow"""
"1605,8,9,1,""aLow"""
"1616,8,10,1,""aLow"""
"1611,8,11,1,""aLow"""
"1614,8,12,0,""aLow"""
"1617,8,13,1,""aLow"""
"1615,8,14,1,""aLow"""
"1608,8,15,1,""aLow"""
"1607,8,16,0,""aLow"""
"1609,8,17,1,""aLow"""
"1603,8,18,1,""aLow"""
"1606,8,19,1,""aLow"""
"1613,8,20,1,""aLow"""
"35,9,1,1,""aLow"""
"38,9,2,0,""aLow"""
"39,9,3,1,""aLow"""
"33,9,4,0,""aLow"""
"42,9,5,1,""aLow"""
"40,9,6,0,""aLow"""
"37,9,7,1,""aLow"""
"36,9,8,1,""aLow"""
"41,9,9,1,""aLow"""
"24,9,10,0,""aLow"""
"22,9,11,1,""aLow"""
"30,9,12,0,""aLow"""
"23,9,13,1,""aLow"""
"26,9,14,1,""aLow"""
"25,9,15,1,""aLow"""
"29,9,16,1,""aLow"""
"27,9,17,1,""aLow"""
"28,9,18,0,""aLow"""
"31,9,19,1,""aLow"""
"32,9,20,1,""aLow"""
"575,10,1,0,""aLow"""
"576,10,2,0,""aLow"""
"568,10,3,0,""aLow"""
"577,10,4,0,""aLow"""
"578,10,5,0,""aLow"""
"569,10,6,0,""aLow"""
"579,10,7,0,""aLow"""
"580,10,8,0,""aLow"""
"570,10,9,0,""aLow"""
"581,10,10,0,""aLow"""
"582,10,11,0,""aLow"""
"571,10,12,0,""aLow"""
"583,10,13,1,""aLow"""
"584,10,14,0,""aLow"""
"572,10,15,0,""aLow"""
"585,10,16,1,""aLow"""
"586,10,17,0,""aLow"""
"573,10,18,0,""aLow"""
"587,10,19,0,""aLow"""
"588,10,20,0,""aLow"""
"981,11,1,0,""aLow"""
"968,11,2,1,""aLow"""
"975,11,3,0,""aLow"""
"972,11,4,1,""aLow"""
"967,11,5,1,""aLow"""
"973,11,6,1,""aLow"""
"969,11,7,1,""aLow"""
"980,11,8,0,""aLow"""
"985,11,9,1,""aLow"""
"984,11,10,1,""aLow"""
"978,11,11,1,""aLow"""
"987,11,12,1,""aLow"""
"986,11,13,1,""aLow"""
"974,11,14,1,""aLow"""
"983,11,15,0,""aLow"""
"970,11,16,0,""aLow"""
"971,11,17,1,""aLow"""
"979,11,18,1,""aLow"""
"977,11,19,1,""aLow"""
"982,11,20,0,""aLow"""
"1718,12,1,0,""aLow"""
"1702,12,2,1,""aLow"""
"1703,12,3,0,""aLow"""
"1708,12,4,0,""aLow"""
"1704,12,5,1,""aLow"""
"1710,12,6,0,""aLow"""
"1717,12,7,0,""aLow"""
"1707,12,8,1,""aLow"""
"1705,12,9,0,""aLow"""
"1712,12,10,0,""aLow"""
"1706,12,11,1,""aLow"""
"1709,12,12,1,""aLow"""
"1716,12,13,0,""aLow"""
