DyadID;total_doubles;total_trials;Treatment_name;proportion_doubles
1;19;20;Low behavioral norm;0,95
2;8;20;Low behavioral norm;0,4
3;15;20;Low behavioral norm;0,75
4;3;20;Low behavioral norm;0,15
5;6;20;Low behavioral norm;0,3
6;6;20;Low behavioral norm;0,3
7;20;20;Low behavioral norm;1
8;16;20;Low behavioral norm;0,8
9;14;20;Low behavioral norm;0,7
10;2;20;Low behavioral norm;0,1
11;14;20;Low behavioral norm;0,7
12;8;20;Low behavioral norm;0,4
13;5;20;Low behavioral norm;0,25
14;10;20;Low behavioral norm;0,5
15;5;20;Low behavioral norm;0,25
16;5;20;Low behavioral norm;0,25
17;5;20;Low behavioral norm;0,25
18;19;20;Low behavioral norm;0,95
19;4;20;Low behavioral norm;0,2
20;2;20;Low behavioral norm;0,1
21;10;20;Low behavioral norm;0,5
22;20;20;High behavioral norm;1
23;13;20;High behavioral norm;0,65
24;3;20;High behavioral norm;0,15
25;10;20;High behavioral norm;0,5
26;20;20;High behavioral norm;1
27;12;20;High behavioral norm;0,6
28;2;20;High behavioral norm;0,1
29;20;20;High behavioral norm;1
30;14;20;High behavioral norm;0,7
31;18;20;High behavioral norm;0,9
32;17;20;High behavioral norm;0,85
33;13;20;High behavioral norm;0,65
34;4;20;High behavioral norm;0,2
35;8;20;High behavioral norm;0,4
36;20;20;High behavioral norm;1
37;11;20;High behavioral norm;0,55
38;20;20;High behavioral norm;1
39;6;20;High behavioral norm;0,3
40;6;20;High behavioral norm;0,3
41;14;20;High behavioral norm;0,7
