Studie;Leeftijd;Geslacht;Subject;Sessie;Geld;Manipulatie
Geografie;21;V;1;160616_1231;5.75;75
Communicatie en Informatiewetenschappen;25;M;2;160616_1231;6.5;80
Rechten;21;V;3;160616_1231;6.75;60
Geschiedenis;22;V;4;160616_1231;5;40
Geografie;23;V;5;160616_1231;6.25;18
Sociologie;23;V;6;160616_1231;5.5;45
Marketing;22;V;7;160616_1231;6.5;18
Bedrijfskunde;21;M;8;160616_1231;6.25;33
Economie;22;V;9;160616_1231;6.25;63
Rechten;21;M;10;160616_1231;5;30
Economie;23;M;11;160616_1231;5;23
Economie;23;M;12;160616_1231;6;40
Natuurkunde;20;V;13;160616_1231;6.25;70
Science;20;M;14;160616_1231;6;85
Social and Cultural Sciences;25;V;15;160616_1231;7.5;15
Communicatiewetenschap;22;M;16;160616_1231;5;17
Psychologie;23;M;17;160616_1231;5;90
Politicologie;20;V;18;160616_1231;5;55
Politicologie;21;V;19;160616_1231;6.5;100
Psychologie;21;V;20;160616_1231;6.5;20
Economie;23;M;21;160616_1231;5;65
Economie;22;M;22;160616_1231;5;25
Rechten;21;V;23;160616_1231;5;80
Scheikunde;20;M;24;160616_1231;6.5;17
Bedrijfskunde;24;M;25;160616_1231;6.5;80
International management;23;M;26;160616_1231;6;75
